customer_id,age,income,tenure_months,recency_days,num_purchases_last_year,avg_order_value,web_visits_last_month,email_open_rate,email_click_rate,prev_campaigns_contacted,prev_campaign_response,discount_offered_pct,has_loyalty_card,contact_channel,channel_preference,region,device,customer_segment,responded
CUST-90018,18,40100.0,42,28,5,72.74,8,0.261,0.021,2,0,5,0,Email,Push,East,Mobile,Regular,0
CUST-90019,23,101300.0,13,331,3,134.09,7,0.38,0.117,7,0,20,0,Email,Push,South,Desktop,Regular,0
CUST-90020,18,61200.0,35,5,3,115.57,8,0.369,0.099,5,0,10,0,Email,Push,North,Desktop,Dormant,0
CUST-90021,37,48100.0,99,3,3,73.47,6,0.331,0.08,1,1,15,1,SMS,SMS,East,Mobile,New,0
CUST-90022,24,75200.0,22,63,9,130.33,7,0.427,0.127,2,1,15,1,Email,SMS,North,Desktop,VIP,0
CUST-90023,44,63000.0,48,62,6,95.98,6,0.472,0.091,5,1,5,0,Email,Email,South,Tablet,New,0
CUST-90024,42,39600.0,39,80,5,90.24,8,0.743,0.138,2,0,10,0,Email,Push,East,Desktop,Regular,0
CUST-90025,38,66900.0,66,46,6,30.89,6,0.105,0.041,1,0,10,0,Email,Push,South,Mobile,VIP,0
CUST-90026,18,41300.0,18,255,5,34.7,5,0.326,0.099,4,0,10,1,Email,Push,West,Desktop,VIP,0
CUST-90027,33,14400.0,28,74,6,35.43,5,0.561,0.079,1,0,15,1,SMS,Push,North,Desktop,Regular,0
CUST-90028,39,94700.0,41,199,3,117.85,6,0.379,0.119,2,1,15,1,SMS,Email,South,Mobile,New,1
CUST-90029,41,44700.0,21,56,8,106.81,5,0.277,0.05,3,0,20,0,Email,Email,North,Mobile,Regular,1
CUST-90030,20,39200.0,18,102,5,239.0,6,0.288,0.147,1,1,20,0,Phone,Email,North,Desktop,Dormant,0
CUST-90031,34,59100.0,33,11,4,51.3,2,0.22,0.111,6,0,15,0,Push,Email,West,Desktop,Regular,0
CUST-90032,27,19200.0,45,60,3,60.51,5,0.205,0.024,3,0,15,1,Email,Email,North,Desktop,New,0
CUST-90033,29,23600.0,39,9,8,51.3,1,0.269,0.09,7,0,5,0,SMS,Email,West,Mobile,Dormant,0
CUST-90034,54,41500.0,14,13,3,119.49,9,0.564,0.309,3,1,5,0,Email,Email,West,Mobile,New,0
CUST-90035,30,41100.0,32,78,1,114.91,4,0.604,0.229,2,0,5,0,Push,Email,South,Mobile,Regular,0
CUST-90036,40,53500.0,29,114,7,70.9,3,0.466,0.082,5,0,20,0,SMS,Email,South,Mobile,Regular,0
CUST-90037,51,75600.0,61,22,4,148.97,3,0.255,0.061,4,0,15,1,Push,Email,North,Mobile,Regular,1
CUST-90038,32,42000.0,16,24,7,71.0,3,0.487,0.159,4,1,15,1,Email,Email,South,Mobile,VIP,1
CUST-90039,39,62300.0,21,49,3,27.02,2,0.281,0.035,4,0,5,0,Email,Push,East,Mobile,Regular,0
CUST-90040,41,64600.0,71,86,3,113.31,8,0.245,0.106,3,0,10,0,Push,Email,East,Tablet,Dormant,0
CUST-90041,41,29200.0,22,33,6,284.14,3,0.337,0.114,5,0,10,1,Email,SMS,East,Desktop,New,0
CUST-90042,24,56800.0,13,1,4,183.79,6,0.386,0.103,4,0,25,0,Email,Email,North,Tablet,New,0
CUST-90043,41,32200.0,19,75,5,29.13,6,0.325,0.051,2,0,10,1,Email,Push,West,Desktop,Regular,0
CUST-90044,58,74300.0,19,70,5,42.26,9,0.336,0.137,6,0,15,0,Email,SMS,East,Mobile,Regular,0
CUST-90045,20,61600.0,19,19,5,37.45,9,0.115,0.057,4,0,20,0,Push,Push,West,Desktop,VIP,0
CUST-90046,51,52300.0,67,14,3,171.06,10,0.349,0.011,4,0,5,0,Email,Email,West,Mobile,Dormant,0
CUST-90047,42,23900.0,16,57,2,50.08,3,0.305,0.032,3,1,20,0,Email,Email,North,Desktop,Dormant,0
CUST-90048,32,54400.0,8,91,4,255.71,5,0.517,0.172,2,1,15,0,SMS,Push,North,Mobile,Regular,1
CUST-90049,66,35900.0,59,20,3,10.22,6,0.076,0.005,7,0,5,0,Email,SMS,East,Mobile,VIP,0
CUST-90050,50,66800.0,31,31,1,85.44,14,0.21,0.039,4,0,15,0,Email,SMS,North,Mobile,New,0
CUST-90051,24,49500.0,38,31,6,52.77,7,0.663,0.277,2,1,15,1,SMS,SMS,West,Mobile,VIP,1
CUST-90052,41,34900.0,31,52,5,121.06,7,0.67,0.196,3,0,10,1,Email,Email,North,Mobile,Dormant,0
CUST-90053,47,71400.0,37,22,5,49.39,6,0.848,0.206,5,0,10,0,Push,Push,North,Mobile,Dormant,1
CUST-90054,38,67200.0,41,227,8,163.36,5,0.369,0.058,5,0,5,0,SMS,SMS,West,Desktop,Regular,0
CUST-90055,49,39500.0,32,38,5,266.8,6,0.405,0.258,0,0,25,0,Email,Phone,East,Mobile,Dormant,0
CUST-90056,39,76400.0,7,170,3,107.39,12,0.602,0.218,4,0,5,0,Email,Email,East,Mobile,Regular,0
CUST-90057,49,45700.0,28,106,3,49.64,3,0.493,0.108,3,1,15,1,Email,Email,South,Mobile,Regular,0
CUST-90058,59,45500.0,13,57,2,47.95,9,0.519,0.098,2,1,20,1,Push,Email,West,Mobile,Dormant,1
CUST-90059,31,54600.0,33,18,8,52.98,4,0.336,0.094,1,0,20,1,Phone,SMS,East,Desktop,Regular,0
CUST-90060,43,36200.0,28,67,3,53.67,5,0.221,0.088,3,0,10,1,Email,SMS,South,Mobile,Regular,1
CUST-90061,34,42700.0,62,92,3,94.38,3,0.162,0.088,4,0,20,1,Email,Push,North,Mobile,Regular,1
CUST-90062,42,48600.0,13,205,6,,7,0.751,0.024,2,0,20,1,Push,Push,West,Mobile,New,0
CUST-90063,25,84100.0,12,10,3,126.13,6,0.363,0.14,3,0,10,1,SMS,Phone,North,Tablet,Dormant,0
CUST-90064,32,83500.0,12,118,7,85.45,3,0.371,0.116,4,0,10,1,Email,SMS,North,Desktop,Regular,0
CUST-90065,37,46600.0,38,25,4,64.38,11,0.38,0.069,1,0,30,1,Email,SMS,North,Desktop,Regular,0
CUST-90066,52,85800.0,11,23,4,66.99,5,0.516,0.277,5,1,5,1,Email,Email,South,Mobile,VIP,1
CUST-90067,55,51100.0,12,14,1,149.46,4,0.234,0.136,4,0,5,0,Push,Push,West,Mobile,Regular,0
CUST-90068,23,60000.0,42,91,5,109.24,5,0.588,0.111,2,0,15,1,Push,Push,East,Desktop,Dormant,0
CUST-90069,30,70600.0,10,10,1,100.68,3,0.663,0.079,4,0,20,0,Push,Phone,West,Tablet,Regular,0
CUST-90070,48,58100.0,7,15,5,56.87,4,0.313,0.147,2,0,25,1,Phone,Phone,East,Mobile,New,0
CUST-90071,18,102700.0,12,10,4,85.08,7,0.674,0.05,3,0,15,1,Email,Email,East,Mobile,New,0
CUST-90072,34,57100.0,28,323,4,61.23,3,0.438,0.033,4,0,30,1,Email,Email,East,Mobile,Regular,0
CUST-90073,39,26900.0,8,256,6,94.48,6,0.742,0.088,1,1,5,1,SMS,SMS,North,Desktop,Regular,0
CUST-90074,56,79400.0,27,31,3,32.06,5,0.521,0.247,3,1,25,1,SMS,Email,North,Mobile,New,0
CUST-90075,49,43300.0,15,110,5,85.44,7,0.299,0.035,0,1,25,1,Email,Email,East,Tablet,Dormant,1
CUST-90076,36,45600.0,46,32,3,194.46,8,0.281,0.046,4,0,15,1,Push,Email,North,Mobile,New,0
CUST-90077,35,12000.0,23,189,4,140.54,10,0.336,0.23,3,0,25,0,Email,Email,East,Desktop,Regular,0
CUST-90078,37,73000.0,76,167,2,291.81,6,0.649,0.336,2,1,20,1,Push,Email,South,Mobile,Regular,0
CUST-90079,60,69200.0,24,88,2,279.17,6,0.158,0.104,7,0,15,1,Email,Email,North,Mobile,VIP,0
CUST-90080,34,68800.0,14,164,3,33.32,6,0.648,0.129,4,0,15,1,Push,Email,South,Tablet,Regular,0
CUST-90081,36,72500.0,27,180,5,71.29,7,0.889,0.037,4,0,30,1,Email,Email,South,Mobile,New,0
CUST-90082,45,87500.0,22,14,7,122.5,5,0.198,0.043,2,0,5,1,Push,Email,East,Mobile,Regular,0
CUST-90083,38,51000.0,17,45,5,46.67,4,0.801,0.098,6,1,5,1,SMS,Email,East,Tablet,VIP,0
CUST-90084,37,71700.0,99,103,5,125.66,6,0.333,0.039,3,0,15,0,Email,Phone,North,Mobile,New,0
CUST-90085,26,36400.0,58,82,5,79.21,5,0.531,0.126,0,0,5,1,Email,SMS,East,Mobile,Regular,0
CUST-90086,40,44600.0,51,68,4,76.82,6,0.742,0.041,2,1,15,1,Email,SMS,East,Mobile,Regular,0
CUST-90087,34,74200.0,51,46,7,152.06,4,0.756,0.277,2,1,15,0,Email,Phone,East,Mobile,Regular,1
CUST-90088,55,60200.0,12,84,5,27.83,6,0.744,0.118,2,0,10,0,Push,Email,East,Mobile,Dormant,0
CUST-90089,48,24000.0,17,116,6,80.32,4,0.442,0.204,3,0,10,0,Email,Push,South,Mobile,VIP,0
CUST-90090,40,59600.0,10,118,4,245.94,5,0.765,0.53,3,0,10,0,SMS,Push,East,Desktop,VIP,1
CUST-90091,49,48200.0,52,142,3,86.39,4,0.287,0.07,3,0,5,0,Email,Email,North,Mobile,New,0
CUST-90092,36,34800.0,76,14,4,126.94,9,0.672,0.223,5,0,5,0,Email,Email,East,Mobile,VIP,0
CUST-90093,54,61100.0,20,93,4,159.6,6,0.374,0.112,3,0,15,1,Email,SMS,West,Mobile,New,0
CUST-90094,40,43500.0,25,47,6,137.25,7,0.212,0.033,4,0,20,1,Email,Phone,West,Mobile,Regular,0
CUST-90095,48,19000.0,20,131,6,71.1,9,0.57,0.102,2,0,5,1,Email,Push,South,Mobile,Regular,0
CUST-90096,23,28700.0,33,10,3,46.08,4,0.435,0.052,2,1,10,0,SMS,Email,South,Tablet,VIP,0
CUST-90097,45,89200.0,29,6,1,65.66,6,0.402,0.095,4,0,30,1,Phone,Push,West,Mobile,Regular,0
CUST-90098,18,20200.0,32,17,3,62.96,5,0.1,0.017,3,0,25,0,Email,Phone,South,Mobile,New,0
CUST-90099,18,56700.0,37,7,5,74.8,2,0.188,0.025,3,0,10,1,Phone,Push,West,Desktop,New,0
CUST-90100,36,64800.0,29,5,4,129.79,7,0.151,0.057,1,0,10,0,Email,Email,East,Mobile,Dormant,0
CUST-90101,28,65400.0,22,46,5,109.27,3,0.118,0.061,4,0,15,1,Email,Email,West,Desktop,Dormant,1
CUST-90102,42,,58,52,3,92.73,5,0.151,0.063,2,0,10,0,Phone,Email,East,Desktop,New,0
CUST-90103,69,45200.0,35,48,10,160.41,9,0.317,0.224,5,1,15,0,Email,SMS,North,Desktop,Regular,0
CUST-90104,29,55000.0,15,34,5,86.46,7,0.217,0.031,0,0,10,0,SMS,Email,East,Mobile,Regular,0
CUST-90105,32,68800.0,63,39,8,55.49,5,0.641,0.322,0,0,5,0,Email,Email,West,Mobile,Regular,0
CUST-90106,43,38500.0,25,9,4,113.36,6,0.436,0.151,1,0,5,1,Email,SMS,West,Mobile,Regular,0
CUST-90107,46,,47,39,7,133.04,4,0.478,0.185,3,0,30,0,Push,SMS,North,Tablet,New,0
CUST-90108,38,73100.0,25,142,6,233.43,5,0.124,0.008,5,1,15,1,Email,SMS,South,Mobile,Regular,0
CUST-90109,37,75200.0,73,41,4,88.16,5,0.556,0.214,3,0,15,0,Phone,Email,South,Desktop,Regular,0
CUST-90110,49,59800.0,74,72,5,88.34,7,0.742,0.182,2,0,25,0,Email,Email,North,Mobile,Regular,1
CUST-90111,47,39200.0,27,1,3,80.24,7,0.369,0.079,2,0,20,1,Push,Email,West,Mobile,Regular,0
CUST-90112,27,60500.0,24,58,1,24.24,7,0.183,0.082,2,0,10,1,Email,Push,South,Desktop,New,0
CUST-90113,39,54300.0,21,57,2,48.03,13,0.708,0.174,3,0,25,1,SMS,Email,West,Desktop,Dormant,0
CUST-90114,40,69600.0,37,21,1,56.23,10,0.168,0.026,4,0,5,0,Email,Email,North,Desktop,Regular,0
CUST-90115,26,25800.0,39,43,5,108.96,7,0.275,0.051,3,0,15,0,Email,SMS,West,Mobile,Dormant,0
CUST-90116,43,54400.0,5,13,2,94.74,5,0.462,0.094,4,1,20,1,Email,Email,North,Mobile,New,1
CUST-90117,29,48700.0,13,66,4,44.71,10,0.346,0.136,4,0,5,1,Push,SMS,South,Mobile,Regular,0
CUST-90118,53,28700.0,62,7,7,45.11,8,0.682,0.276,1,1,15,0,Email,SMS,West,Desktop,New,0
CUST-90119,43,56500.0,30,13,5,38.11,11,0.892,0.13,3,0,10,0,Email,Email,East,Mobile,Regular,0
CUST-90120,41,52700.0,4,24,4,117.59,7,0.111,0.011,1,1,25,1,Push,Email,East,Mobile,Regular,1
CUST-90121,32,43400.0,27,28,2,30.97,7,0.285,0.161,2,0,15,0,SMS,SMS,North,Desktop,Dormant,0
CUST-90122,38,60300.0,15,165,5,20.34,6,0.482,0.097,2,1,10,1,SMS,Email,South,Mobile,Dormant,0
CUST-90123,18,22200.0,19,36,5,80.28,11,0.402,0.162,3,0,5,1,Email,Phone,South,Mobile,Dormant,0
CUST-90124,25,50900.0,12,144,3,48.56,4,0.248,0.039,4,0,15,1,Email,Email,North,Desktop,New,0
CUST-90125,45,61100.0,19,243,6,142.13,6,0.043,0.003,1,0,10,1,Push,Push,East,Mobile,New,0
CUST-90126,18,58000.0,11,96,9,37.69,4,0.491,0.298,1,1,10,1,Email,Push,East,Mobile,Regular,1
CUST-90127,51,74600.0,18,4,3,44.79,5,0.284,0.161,1,0,15,0,SMS,Email,North,Mobile,Regular,0
CUST-90128,18,26800.0,13,3,7,140.33,6,0.711,0.421,3,0,15,1,Email,Email,North,Mobile,Regular,1
CUST-90129,50,20300.0,46,226,3,78.16,5,0.053,0.026,5,0,15,0,Push,Push,West,Mobile,Dormant,0
CUST-90130,29,57000.0,20,15,8,30.32,4,0.366,0.065,2,0,10,1,Email,Email,West,Mobile,Dormant,1
CUST-90131,50,61600.0,30,93,6,48.69,6,0.23,0.118,1,0,15,0,Email,Email,South,Tablet,Regular,0
CUST-90132,42,96500.0,16,22,10,91.74,6,0.429,0.144,1,1,10,1,Email,Push,East,Desktop,Dormant,0
CUST-90133,20,64900.0,43,125,4,53.07,9,0.252,0.14,1,0,30,0,SMS,Push,East,Tablet,VIP,0
CUST-90134,56,33600.0,30,21,0,182.53,1,0.368,0.029,4,0,5,1,Push,Email,North,Mobile,New,0
CUST-90135,59,68900.0,18,72,3,75.74,4,0.458,0.155,4,0,20,0,SMS,Phone,North,Mobile,Dormant,0
CUST-90136,39,34200.0,51,8,2,195.18,4,0.061,0.006,1,0,5,0,Email,SMS,East,Mobile,Regular,0
CUST-90137,36,20800.0,23,34,4,,7,0.308,0.027,4,0,10,0,Push,Push,West,Desktop,New,0
CUST-90138,38,106800.0,102,40,3,54.69,4,0.346,0.028,3,1,5,1,Phone,Email,North,Desktop,Regular,1
CUST-90139,27,58800.0,31,171,5,27.55,5,0.485,0.042,4,1,15,1,Push,Push,South,Tablet,Regular,0
CUST-90140,54,67000.0,29,60,4,12.73,4,0.573,0.101,3,0,10,0,SMS,Push,South,Mobile,Dormant,1
CUST-90141,33,63800.0,30,2,2,50.98,5,0.351,0.025,2,1,10,0,SMS,Email,East,Desktop,Regular,0
CUST-90142,39,90100.0,59,77,5,71.25,6,0.614,0.026,5,0,5,1,SMS,Push,North,Mobile,New,0
CUST-90143,30,58000.0,30,11,5,67.68,8,0.448,0.258,1,0,10,1,Email,SMS,West,Mobile,New,1
CUST-90144,32,77600.0,19,65,7,130.36,8,0.171,0.026,1,0,10,0,Email,Push,North,Mobile,Regular,0
CUST-90145,23,30400.0,10,60,3,16.37,7,0.492,0.193,1,0,5,1,Email,Phone,North,Desktop,VIP,1
CUST-90146,56,22800.0,74,40,2,74.25,2,0.086,0.036,3,0,15,1,Email,Email,South,Desktop,New,0
CUST-90147,38,82000.0,59,24,4,54.64,7,0.568,0.067,0,0,15,1,Email,Email,North,Desktop,Regular,0
CUST-90148,53,83000.0,67,91,9,52.27,7,0.392,0.084,2,0,5,1,Email,SMS,West,Tablet,VIP,0
CUST-90149,40,62700.0,25,6,0,63.88,7,0.323,0.213,2,1,20,0,Phone,Email,North,Desktop,New,0
CUST-90150,31,56700.0,11,9,5,55.25,7,0.266,0.127,3,0,10,0,Email,Email,North,Mobile,Dormant,1
CUST-90151,36,55500.0,32,87,3,91.53,8,0.112,0.049,2,0,20,1,SMS,Push,West,Desktop,Regular,0
CUST-90152,33,37500.0,13,116,6,78.15,8,0.175,0.074,3,1,20,0,Email,Email,North,Desktop,Dormant,0
CUST-90153,40,84300.0,18,36,1,183.44,7,0.192,0.012,2,0,10,0,Push,SMS,North,Mobile,VIP,0
CUST-90154,35,65800.0,57,96,2,59.58,7,0.432,0.227,6,0,5,1,Phone,SMS,South,Tablet,New,0
CUST-90155,36,62600.0,18,126,6,89.23,5,0.468,0.159,3,0,15,1,Email,Phone,North,Mobile,New,0
CUST-90156,22,59900.0,9,7,7,34.87,9,0.108,0.02,2,0,5,1,Email,Email,East,Mobile,New,0
CUST-90157,30,74000.0,28,194,2,52.77,2,0.532,0.243,3,1,5,0,Email,Email,South,Mobile,New,1
CUST-90158,62,62600.0,6,32,7,305.13,5,0.575,0.129,4,0,30,0,Email,Email,South,Mobile,Regular,0
CUST-90159,31,67700.0,37,25,5,52.51,6,0.661,0.094,3,0,10,0,Push,Email,North,Mobile,VIP,0
CUST-90160,26,27500.0,12,38,5,147.66,7,0.405,0.133,4,0,10,1,SMS,Push,East,Mobile,Regular,0
CUST-90161,44,62700.0,60,130,6,37.58,13,0.608,0.483,3,0,20,0,Push,Email,South,Mobile,New,1
CUST-90162,58,97900.0,8,22,5,72.2,7,0.349,0.045,2,0,25,1,SMS,Push,South,Mobile,Dormant,0
CUST-90163,21,41100.0,9,33,8,80.88,1,0.629,0.116,2,1,15,1,Email,SMS,West,Mobile,Regular,1
CUST-90164,37,49300.0,18,7,3,49.75,7,0.378,0.147,2,0,5,0,Push,SMS,North,Tablet,Regular,0
CUST-90165,32,70700.0,9,72,4,87.44,6,0.435,0.031,2,0,25,1,Email,Phone,West,Desktop,Regular,0
CUST-90166,18,72100.0,23,18,6,57.73,10,0.41,0.025,3,0,15,1,Push,Phone,North,Mobile,VIP,0
CUST-90167,50,65100.0,37,19,2,79.14,7,0.563,0.048,4,0,20,0,SMS,Email,East,Mobile,New,0
CUST-90168,40,18000.0,22,34,2,33.63,6,0.669,0.184,5,0,20,1,Email,Phone,North,Mobile,Dormant,0
CUST-90169,41,62500.0,35,28,3,115.15,6,0.311,0.038,5,0,15,0,Email,Push,South,Desktop,Regular,1
CUST-90170,30,27100.0,29,14,8,43.22,3,0.584,0.259,1,0,10,1,SMS,Email,West,Mobile,Dormant,0
CUST-90171,46,,25,35,9,155.79,8,0.379,0.058,3,0,10,0,SMS,Push,North,Mobile,Regular,0
CUST-90172,33,63500.0,12,2,6,63.05,10,0.617,0.18,0,0,20,0,Push,Email,South,Tablet,Regular,0
CUST-90173,38,45800.0,21,55,3,104.27,4,0.113,0.048,3,0,10,0,Push,Email,South,Mobile,Regular,0
CUST-90174,26,69000.0,48,12,3,19.2,4,0.155,0.019,3,0,25,0,Email,SMS,North,Desktop,Regular,0
CUST-90175,24,118100.0,47,14,5,45.37,1,0.401,0.068,2,0,10,0,Email,Email,North,Desktop,VIP,0
CUST-90176,57,68300.0,38,73,4,48.2,8,0.223,0.144,2,1,5,0,Email,Email,East,Desktop,New,0
CUST-90177,33,,14,325,3,73.44,4,0.078,0.055,4,0,20,1,Email,SMS,North,Mobile,Regular,0
CUST-90178,44,33200.0,57,14,4,261.03,9,0.477,0.27,0,0,10,1,Push,SMS,South,Mobile,Regular,0
CUST-90179,40,38500.0,15,210,4,134.02,6,0.341,0.11,4,0,20,1,Push,Email,North,Mobile,New,0
CUST-90180,34,29700.0,26,75,6,60.93,7,0.421,0.254,2,0,10,1,Email,Email,East,Mobile,Regular,0
CUST-90181,33,40800.0,72,14,5,92.94,6,0.282,0.167,4,0,15,0,Email,Phone,South,Mobile,Regular,0
CUST-90182,48,29100.0,4,12,3,39.35,2,0.049,0.009,2,0,5,1,SMS,Email,West,Mobile,Regular,0
CUST-90183,36,38100.0,26,127,7,109.56,6,0.365,0.049,5,0,10,0,SMS,Push,South,Mobile,VIP,0
CUST-90184,38,47600.0,43,213,1,,7,0.322,0.101,2,0,15,0,Email,SMS,North,Mobile,Regular,0
CUST-90185,40,31000.0,20,97,4,52.24,7,0.369,0.161,1,0,5,0,Email,Email,East,Desktop,Regular,0
CUST-90186,55,22200.0,5,73,1,113.2,3,0.69,0.287,0,0,15,1,Push,Email,South,Mobile,Regular,0
CUST-90187,49,23400.0,46,74,3,98.05,8,0.588,0.164,3,0,20,0,Email,Email,North,Mobile,Regular,0
CUST-90188,45,61500.0,56,182,7,174.46,6,0.107,0.021,2,0,15,1,SMS,Email,North,Mobile,Dormant,0
CUST-90189,33,53300.0,67,105,3,144.92,7,0.329,0.209,1,0,5,0,Email,Phone,West,Mobile,Regular,0
CUST-90190,22,73500.0,11,100,5,41.36,9,0.49,0.113,4,0,10,0,Email,SMS,North,Desktop,Regular,0
CUST-90191,52,73900.0,6,218,7,125.54,4,0.662,0.168,1,1,15,1,Push,Push,West,Mobile,Dormant,0
CUST-90192,53,44800.0,32,177,6,176.96,4,0.689,0.135,3,1,30,0,Email,Email,South,Desktop,VIP,1
CUST-90193,38,66100.0,84,138,3,177.74,7,0.578,0.219,5,0,10,0,SMS,SMS,West,Mobile,Regular,0
CUST-90194,47,21700.0,22,1,9,45.92,6,0.842,0.188,3,0,20,1,SMS,Email,East,Mobile,Regular,0
CUST-90195,50,,50,19,3,50.75,4,0.499,0.016,5,0,10,1,Email,Email,North,Desktop,Regular,0
CUST-90196,51,77100.0,16,142,0,20.43,5,0.383,0.093,4,0,5,1,Email,Email,North,Mobile,New,0
CUST-90197,52,47500.0,38,62,7,104.32,9,0.291,0.141,3,0,10,0,Push,Email,East,Tablet,Regular,0
CUST-90198,34,27600.0,43,9,0,14.92,7,0.175,0.043,6,0,20,0,Email,SMS,South,Mobile,New,0
CUST-90199,60,60000.0,19,62,3,11.61,4,0.386,0.076,2,0,10,1,Email,Email,East,Mobile,Dormant,0
CUST-90200,24,12700.0,76,102,3,30.87,5,0.584,0.172,6,1,25,0,SMS,SMS,North,Mobile,New,0
CUST-90201,51,35600.0,24,11,2,99.14,6,0.384,0.007,6,0,25,1,SMS,Phone,South,Tablet,Regular,0
CUST-90202,46,67700.0,79,6,7,91.16,5,0.331,0.121,1,1,15,1,Email,Push,North,Mobile,Regular,0
CUST-90203,51,53600.0,16,112,2,153.43,8,0.195,0.036,4,0,5,1,Push,Push,South,Mobile,Regular,0
CUST-90204,64,41700.0,9,164,4,118.02,5,0.498,0.026,2,0,5,0,SMS,Push,North,Desktop,Dormant,0
CUST-90205,59,,5,61,2,64.85,4,0.536,0.223,5,1,5,0,Push,Email,South,Mobile,Regular,0
CUST-90206,25,30200.0,52,59,5,45.28,7,0.583,0.387,2,0,10,0,Email,Email,East,Mobile,New,1
CUST-90207,18,58000.0,31,22,4,50.2,10,0.376,0.185,5,0,20,0,Email,SMS,North,Mobile,New,1
CUST-90208,51,41500.0,19,106,4,85.41,7,0.61,0.05,2,1,10,1,SMS,Phone,South,Desktop,Regular,1
CUST-90209,27,34200.0,15,34,4,142.47,8,0.181,0.025,2,0,5,1,Email,SMS,East,Mobile,Regular,0
CUST-90210,40,61700.0,18,44,3,52.22,5,0.368,0.07,4,0,10,1,Push,Email,South,Tablet,Regular,0
CUST-90211,51,31100.0,60,32,8,29.55,6,0.39,0.082,5,1,20,0,SMS,Email,West,Mobile,Regular,1
CUST-90212,19,91900.0,38,57,0,41.68,5,0.278,0.03,4,0,15,0,Push,Email,East,Mobile,Dormant,0
CUST-90213,18,39700.0,2,40,4,93.57,4,0.294,0.137,2,0,5,0,Push,Push,North,Desktop,Regular,0
CUST-90214,43,93800.0,8,134,6,55.85,1,0.144,0.019,4,0,10,1,SMS,SMS,East,Mobile,New,0
CUST-90215,41,29000.0,6,124,4,33.28,4,0.562,0.09,2,0,20,0,Email,Push,East,Mobile,New,0
CUST-90216,37,64700.0,32,170,2,75.92,14,0.379,0.127,2,1,20,0,Email,Email,North,Mobile,Regular,0
CUST-90217,41,26800.0,28,20,4,47.61,4,0.489,0.272,1,0,10,0,Email,Push,South,Desktop,Regular,0
CUST-90218,29,23800.0,47,18,5,107.97,9,0.228,0.035,0,0,10,1,Push,Email,East,Mobile,New,0
CUST-90219,20,55400.0,18,130,4,80.92,5,0.278,0.047,4,0,5,0,Email,Email,South,Mobile,VIP,0
CUST-90220,38,66200.0,20,162,5,18.04,10,0.172,0.031,2,0,15,1,Email,Phone,East,Desktop,VIP,0
CUST-90221,27,25200.0,16,66,5,51.32,7,0.299,0.019,2,0,5,1,Push,Push,North,Mobile,Regular,0
CUST-90222,19,76900.0,42,195,8,19.39,8,0.682,0.314,0,0,30,1,SMS,Push,East,Mobile,Regular,0
CUST-90223,47,35300.0,10,28,7,79.34,5,0.471,0.229,4,0,15,0,Email,Push,North,Desktop,Dormant,0
CUST-90224,39,54800.0,16,29,9,54.87,5,0.384,0.227,3,1,10,1,Email,Email,North,Desktop,VIP,1
